school,school_attr,school_type,province
吉林外国语大学,未知,语言类,吉林
吉林化工学院,省属高等院校|卓越工程师教育培养计划,工科,吉林
武汉第二船舶设计研究所,未知,未知,湖北
广东财经大学,省部共建大学|广东省重点建设大学|卓越法律人才教育培养计划（2012年入选）,财经类,广东
中原工学院,全日制普通高等学校|深化创新创业教育改革示范高校,理工,河南
湖北汽车工业学院,卓越工程师教育培养计划|普通高等院校,理工,湖北
苏州科技大学,卓越工程师教育培养计划|省部共建高校,理工类,江苏
苏州科技大学,卓越工程师教育培养计划|省部共建高校,理工类,江苏
辽宁科技大学,辽宁省一流大学重点建设高校（2017年）|教育部卓越工程师教育培养计划高校（2011年）|省属重点本科高校,理工,辽宁
重庆科技学院,省部共建高校[7] |卓越工程师教育培养计划（2011年）[8] |全国应用技术大学（学院）联盟副理事长单位|数据中国“百校工程”,"理工
[6]",重庆
沈阳化工大学,省部共建高校|辽宁省“双一流”重点建设高校|中西部高校基础能力建设工程|卓越工程师教育培养计划,理工类,辽宁
安徽医科大学,省部共建大学 |卓越医生教育培养计划 |国家“特色重点学科项目”建设高校 |安徽省属重点大学 |安徽省高等教育振兴计划 ,医药,安徽
首都师范大学,双一流（世界一流学科建设高校）（2017年）|卓越教师培养计划（2014年） |省部共建大学（2014年）,师范（综合类）,北京
五邑大学,全日制普通本科院校|省市共建本科高校（2016年入选）|广东省高水平理工科大学建设高校（2017年入选）,综合,广东
河北农业大学,省部共建高校 |省属重点本科高校|中西部高校基础能力建设工程（2012年入选） |卓越工程师教育培养计划（2013年12月入选）|卓越农林人才教育培养计划（2010年入选）,农林类,河北
桂林理工大学,中西部高校基础能力建设工程|卓越工程师教育培养计划 |深化创新创业教育改革示范高校[7] |新工科研究与实践项目[8] |卓越工程师教育培养计划2.0,理工类,广西
苏州科技大学,卓越工程师教育培养计划|省部共建高校,理工类,江苏
常州大学,省属重点本科高校|省部共建大学,理工类,江苏
北京工商大学,未知,综合,北京
河南大学,世界一流学科建设高校（2017年） |111计划（2016年）|省部共建大学（2008年）|中西部高校基础能力建设工程（2012年） |卓越医生教育培养计划（2012年） ,综合,河南
杭州师范大学,卓越教师培养计划（卓越小学教师培养改革项目）|浙江省重点建设高校,师范类,浙江
重庆科技学院,省部共建高校[7] |卓越工程师教育培养计划（2011年）[8] |全国应用技术大学（学院）联盟副理事长单位|数据中国“百校工程”,"理工
[6]",重庆
四川轻化工大学,未知,理工类,四川
温州大学,未知,综合类,浙江
天津理工大学,卓越工程师教育培养计划高校（2011）|高等学校学科创新引智计划（2017）|新工科研究与实践项目（2018）,理工,天津
湖南理工学院,“十三五”国家产教融合发展工程应用型本科规划高校（2016）,理工,湖南
南京信息工程大学,全国重点大学|省部共建高校|卓越工程师教育培养计划（2011年） |世界一流学科建设高校（2017年）|江苏高水平大学建设高校,理工,江苏
大连大学,卓越教师培养计划（2014）,综合,辽宁
武汉材料保护研究所,未知,未知,湖北
安徽农业大学,省属重点大学 |省部共建大学 |中西部高校基础能力建设工程 |卓越工程师教育培养计划2.0|卓越农林人才教育培养计划,农林,安徽
广东药科大学,全日制普通本科高校,医药,广东
大连工业大学,卓越工程师教育培养计划|卓越农林人才教育培养计划|2011计划,理工类,辽宁
武汉工程大学,卓越工程师教育培养计划高校（2011）|中西部高校基础能力建设工程（2012）|“新工科”研究与实践项目（2018）|湖北省国内一流学科建设高校（2018）,理工,湖北
大连工业大学,卓越工程师教育培养计划|卓越农林人才教育培养计划|2011计划,理工类,辽宁
浙江理工大学,省属重点建设大学 |卓越工程师教育培养计划|新工科研究与实践项目,理工类,浙江
中国计量大学,全日制普通本科院校|省部共建大学（2017年）|卓越工程师教育培养计划（2011年）|新工科研究与实践项目|国家级大学生创新创业训练计划,理工,北京
四川轻化工大学,未知,理工类,四川
南方医科大学,111计划[2] |卓越医生教育培养计划|”部委省”共建高校|全国重点大学,医科,广东
佳木斯大学,省属重点大学|中西部高校基础能力建设工程,综合,黑龙江
重庆科技学院,省部共建高校[7] |卓越工程师教育培养计划（2011年）[8] |全国应用技术大学（学院）联盟副理事长单位|数据中国“百校工程”,"理工
[6]",重庆
安徽医科大学,省部共建大学 |卓越医生教育培养计划 |国家“特色重点学科项目”建设高校 |安徽省属重点大学 |安徽省高等教育振兴计划 ,医药,安徽
南昌工程学院,江西省人民政府与水利部共建高校（2008年）|卓越工程师教育培养计划（2011年）|卓越农林人才教育培养计划（2014年）|江西省“一流学科”建设高校（2017年）[2] ,理工,江西
南昌工程学院,江西省人民政府与水利部共建高校（2008年）|卓越工程师教育培养计划（2011年）|卓越农林人才教育培养计划（2014年）|江西省“一流学科”建设高校（2017年）[2] ,理工,江西
南昌工程学院,江西省人民政府与水利部共建高校（2008年）|卓越工程师教育培养计划（2011年）|卓越农林人才教育培养计划（2014年）|江西省“一流学科”建设高校（2017年）[2] ,理工,江西
南昌工程学院,江西省人民政府与水利部共建高校（2008年）|卓越工程师教育培养计划（2011年）|卓越农林人才教育培养计划（2014年）|江西省“一流学科”建设高校（2017年）[2] ,理工,江西
常州大学,省属重点本科高校|省部共建大学,理工类,江苏
辽宁石油化工大学,省属重点高校 |卓越工程师教育培养计划,工科,辽宁
天津理工大学,卓越工程师教育培养计划高校（2011）|高等学校学科创新引智计划（2017）|新工科研究与实践项目（2018）,理工,天津
安徽大学,211工程|省部共建高校|“双一流”世界一流学科建设高校|卓越法律人才教育培养计划 |中国政府奖学金来华留学生接收院校,综合,安徽
黑龙江科技大学,黑龙江“1161工程”|黑龙江“十二五”期间重点建设的特色应用型本科高校|省部共建高校|新工科研究与实践项目|卓越工程师教育培养计划2.0,理工类,黑龙江
北京科技大学,双一流（世界一流学科建设高校）（2017年）|全国重点大学（1960年）|211工程（1997年）|985工程优势学科创新平台（2006年）|卓越工程师教育培养计划（2010年）,理工,北京
南昌工程学院,江西省人民政府与水利部共建高校（2008年）|卓越工程师教育培养计划（2011年）|卓越农林人才教育培养计划（2014年）|江西省“一流学科”建设高校（2017年）[2] ,理工,江西
福建农林大学,福建省重点建设高校（2003年）|农业部与福建省人民政府共建大学（2011）|国家林业局与福建省人民政府共建大学（2012）|福建省高水平大学建设高校（2014）|福建省一流大学建设高校（2018）,农林,福建
河南大学,世界一流学科建设高校（2017年） |111计划（2016年）|省部共建大学（2008年）|中西部高校基础能力建设工程（2012年） |卓越医生教育培养计划（2012年） ,综合,河南
桂林电子科技大学,省部共建高校（工业和信息化部、国家国防科技工业局与广西壮族自治区人民政府共建）|卓越工程师教育培养计划|中西部高校基础能力建设工程|首批高等学校科技成果转化和技术转移基地|新工科研究与实践项目,理工类,广西
北京石油化工学院,全日制普通高等本科院校|教育部CDIO工程教育改革试点高校（2007年）|教育部首批“卓越工程师教育培养计划”试点高校（2010年）|高水平运动员招生资格高校（2015年）|北京市深化创新创业教育改革示范高校（2017年）,理工,北京
贵州大学,双一流（世界一流学科建设高校）|211工程|部省合作共建高校|中国政府奖学金来华留学生接收院校|西部地区重点建设高水平大学,综合,贵州
景德镇陶瓷大学,卓越工程师教育培养计划（2012年） |江西省首批转型发展试点高校（2015年）,"理工类
[5]",江西
天津理工大学,卓越工程师教育培养计划高校（2011）|高等学校学科创新引智计划（2017）|新工科研究与实践项目（2018）,理工,天津
福建工程学院,福建省重点建设高校（2012年）|福建省示范性应用型本科高校建设单位（2018）|教育部“卓越工程师教育培养计划”试点高校（2010年）|“十三五”应用型本科产教融合发展工程规划项目（2016年）|福建省一流学科建设高校（2016年）,理工,福建
